StreetName,StreetCode
STAGG ST,3583
LORIMER ST,2585
JOHNSON AVE,2354
BOERUM ST,854
WHITE ST,4149
UNION AVE,3774
WALTON ST,4072
MELROSE ST,2739
GRATTAN ST,2023
FORREST ST,1875
BELVIDERE ST,793
LOCUST ST,2570
PARK ST,3042
STANWIX ST,3588
GEORGE ST,1948
ARION PL,589
COOK ST,1213
WILSON AVE,4188
LEE AVE,2502
TOMPKINS AVE,3732
MONTIETH ST,2811
MOORE ST,2815
STUYVESANT AVE,3636
WHIPPLE ST,4146
GERRY ST,1955
MARCUS GARVEY BLVD,2679
HOPKINS ST,2243
EVERGREEN AVE,1791
MORGAN AVE,2817
BOGART ST,857
HARRISON AVE,2113
DELMONICO PL,1364
BARTLETT ST,705
NOLL ST,2928
BUSHWICK PL,989
THORNTON ST,3705
THAMES ST,3692
MEADOW ST,2732
WATERBURY ST,4091
RENAISSANCE CT,3248
NEWKIRK AVE,2913
CLARKSON AVE,1134
REGENT PL,3239
PARADE PL,3030
PARKSIDE AVE,3047
ALBEMARLE RD,516
ROGERS AVE,3328
MARTENSE ST,2698
LENOX RD,2516
TILDEN AVE,3719
CLARENDON RD,1132
CORTELYOU RD,1235
NEW YORK AVE,2907
WOODRUFF AVE,4223
CATON AVE,1064
MARLBOROUGH RD,2691
BEVERLEY RD,821
TENNIS CT,3688
DORCHESTER RD,1421
SNYDER AVE,3521
ST PAULS CT,3575
RUGBY RD,3358
CROOKE AVE,1273
ARGYLE RD,588
LOTT ST,2594
WOODS PL,4224
FAIRVIEW PL,1810
RALEIGH PL,3209
BUCKINGHAM RD,967
STEPHENS CT,3605
ERASMUS ST,1774
MARTENSE CT,2697
VERONICA PL,3837
WESTBURY CT,4131
DURYEA PL,1462
LLOYD ST,2565
E 32 ST,1604
VANDERVEER PL,3819
PARKSIDE CT,3048
E 22 ST,1575
E 28 ST,1600
E 31 ST,1603
E 17 ST,1528
ST PAULS PL,3576
QUEENS BLVD,3189
94 AVE,474
86 AVE,450
LIVERPOOL ST,2558
LAKEWOOD AVE,2470
87 DR,454
REMINGTON ST,3244
BURDEN CRES,976
MANTON ST,2670
LANDER ST,2478
PERSHING CRES,3087
HOOVER AVE,2239
INWOOD ST,2299
GLASSBORO AVE,1970
COOLIDGE AVE,1215
PINEGROVE ST,3106
WALTHAM ST,4070
LOWE CT,2599
SMEDLEY ST,3515
DANIELS ST,1321
PRINCETON ST,3168
101 AVE,6
82 DR,437
111 AVE,28
143 ST,95
86 RD,451
LLOYD RD,2564
VAN WYCK EXPY,3813
ALLENDALE ST,532
BRISBIN ST,928
138 ST,86
95 AVE,476
CRESSKILL PL,1263
87 AVE,453
134 ST,77
97 AVE,480
150 ST,119
149 ST,113
82 AVE,436
84 DR,442
87 RD,455
147 PL,105
85 AVE,446
145 ST,100
138 PL,85
141 ST,92
142 ST,93
E 189 ST,1547
E 186 ST,1544
MARION AVE,2686
BRIGGS AVE,907
BAINBRIDGE AVE,669
E 201 ST,1559
BEDFORD PARK BLVD,772
LORILLARD PL,2584
HOFFMAN ST,2218
CAMBRELENG AVE,1006
E FORDHAM RD,1671
E KINGSBRIDGE RD,1674
BOTANICAL SQ,874
MIRIAM ST,2792
SOUTHERN BLVD,3530
ST GEORGES CRES,3556
CYRUS PL,1305
OLIVER PL,2983
LISBON PL,2550
POND PL,3137
E 187 ST,1545
E 202 ST,1560
E MOSHOLU PKWY S,1677
E 198 ST,1555
E 194 ST,1552
E 199 ST,1556
E 204 ST,1561
E 188 ST,1546
E 191 ST,1550
E 195 ST,1553
NELSON AVE,2893
W 169 ST,3928
OGDEN AVE,2972
W 168 ST,3927
SHAKESPEARE AVE,3464
ANDERSON AVE,560
WOODYCREST AVE,4229
MCCLELLAN ST,2724
CROMWELL AVE,1270
W 167 ST,3926
INWOOD AVE,2298
E 170 ST,1529
JESUP AVE,2346
MARCY PL,2681
PLIMPTON AVE,3125
W 170 ST,3930
W 166 ST,3925
W 165 ST,3924
E 169 ST,1527
MACOMBS RD,2630
W 163 ST,3922
E 168 ST,1526
WYTHE PL,4242
ROCKWOOD ST,3320
TUDOR PL,3758
ELLIOT PL,1736
EDWARD L GRANT HWY,1710
MERRIAM AVE,2750
TOWNSEND AVE,3738
SUMMIT AVE,3645
HAWKSTONE ST,2140
JESUP PL,2347
UNIVERSITY AVE,3780
FEATHERBED LN,1826
GRANDVIEW PL,2012
W 162 ST,3921
E 171 ST,1530
E 167 ST,1525
W 164 ST,3923
UNDERCLIFF AVE,3772
DAVIDSON AVE,1328
E CLARKE PL,1670
SEDGWICK AVE,3448
E 9 ST,1654
AVE C,637
STUYVESANT OVAL,3637
E 14 ST,1504
E 1 ST,1470
E 20 ST,1558
E 3 ST,1602
HUDSON YARDS,2264
PENN PLZ,3078
W 31 ST,3989
W 27 ST,3985
W 34 ST,3991
W 29 ST,3986
W 33 ST,3990
64 ST,380
FT HAMILTON PKWY,1905
OVINGTON AVE,3010
DURYEA CT,1461
15 AVE,114
MINNA ST,2790
CHESTER AVE,1105
STRATFORD RD,3625
DAHILL RD,1307
38 ST,290
WESTMINSTER RD,4138
MCDONALD AVE,2725
VANDERBILT ST,3818
FRIEL PL,1900
LEWIS PL,2526
LOUISA ST,2597
SEELEY ST,3449
TERRACE PL,3690
MICIELI PL,2764
STORY ST,3622
CLARA ST,1129
KERMIT PL,2410
TEHAMA ST,3683
E 8 ST,1643
TURNER PL,3761
HINCKLEY PL,2211
SLOCUM PL,3511
REEVE PL,3235
BILLS PL,830
CATON PL,1065
36 ST,285
E 2 ST,1557
E 5 ST,1621
E 4 ST,1611
AVE F,639
W 5 ST,4002
20 AVE,188
W 6 ST,4006
CAMERON CT,1011
W 8 ST,4019
W 7 ST,4010
AVE O,647
AVE P,648
137 AVE,82
145 AVE,98
153 ST,121
FOCH BLVD,1862
IRWIN PL,2308
LESLIE RD,2520
ANDERSON RD,561
BAISLEY BLVD,672
BEDELL ST,770
URSINA RD,3785
SELOVER RD,3454
VICTORIA RD,3844
GARRETT ST,1934
MATHEWSON CT,2709
158 ST,128
129 AVE,64
PORTER RD,3149
SIDWAY PL,3496
MERRILL ST,2753
LONG ST,2576
TROUTVILLE RD,3751
MARSDEN ST,2695
EVELETH RD,1788
130 AVE,68
127 AVE,61
123 AVE,56
120 AVE,50
118 AVE,44
166 PL,143
115 AVE,38
167 ST,145
168 ST,147
148 AVE,108
119 AVE,46
132 AVE,72
140 AVE,90
122 AVE,54
121 AVE,52
STARLING AVE,3589
PURDY ST,3180
HUNT AVE,2272
DORIS ST,1423
PELHAM PKWY S,3065
MATTHEWS AVE,2712
BARNES AVE,697
WALLACE AVE,4067
HOLLAND AVE,2221
BRONXDALE AVE,941
FOWLER AVE,1882
PARKER ST,3045
GLOVER ST,1981
BENEDICT AVE,796
METROPOLITAN OVAL,2761
ST RAYMOND AVE,3578
UNIONPORT RD,3779
PARKCHESTER RD,3044
EAST AVE,1689
MCGRAW AVE,2726
VIRGINIA AVE,3857
HAVEMEYER AVE,2133
ELLIS AVE,1737
VAN NEST AVE,3806
WHITE PLAINS RD,4148
HAVILAND AVE,2139
GLEBE AVE,1973
GUERLAIN ST,2057
CRUGER AVE,1290
NEILL AVE,2890
COLDEN AVE,1169
BRADY AVE,893
CASTLE HILL AVENUE,1056
LELAND AVE,2512
WEST AVE,4126
SAGAMORE ST,3393
MORRIS PARK AVE,2823
WESTCHESTER AVE,4132
BOGART AVE,856
OLMSTEAD AVE,2985
LYON AVE,2619
GLEASON AVE,1972
LYDIG AVE,2612
RHINELANDER AVE,3267
VICTOR ST,3843
WOOD RD,4212
HUGH J GRANT CIR,2265
WOOD AVE,4211
MULINER AVE,2844
PUGSLEY AVE,3174
ZEREGA AVE,4254
NEWBOLD AVE,2911
AMETHYST ST,548
ODELL ST,2970
BOLTON ST,863
POWELL AVE,3156
WATERBURY AVE,4090
ANTIN PL,572
MACLAY AVE,2627
PIERCE AVE,3098
ARCHER ST,583
STEARNS ST,3596
KINSELLA ST,2434
BIRCHALL AVE,834
BRONX PARK E,939
COMMERCE AVE,1193
MANNING ST,2663
DELANCEY PL,1356
ARCHER RD,582
ARLINGTON AVE,591
ETNA ST,1785
CRESCENT ST,1262
GRANT AVE,2017
HALE AVE,2072
EUCLID AVE,1786
VANDALIA AVE,3815
DOSCHER ST,1427
AUTUMN AVE,633
RICHMOND ST,3278
MONTAUK AVE,2804
NICHOLS AVE,2922
RIDGEWOOD AVE,3286
HEGEMAN AVE,2156
MILFORD ST,2776
ELDERT LN,1722
FOUNTAIN AVE,1881
AMBER ST,544
NEW LOTS AVE,2904
BERRIMAN ST,814
LINWOOD ST,2547
LOGAN ST,2573
ELTON ST,1755
ATKINS AVE,619
WORTMAN AVE,4234
CHESTNUT ST,1111
NORWOOD AVE,2942
LORING AVE,2586
HEMLOCK ST,2159
BLAKE AVE,843
SHEPHERD AVE,3477
FOLSOM PL,1863
FORBELL ST,1866
DREW ST,1439
DANFORTH ST,1318
KIELY PL,2415
CAMPUS PL,1016
LOCKE ST,2567
COZINE AVE,1253
WELDON ST,4116
EGAN ST,1714
HILL ST,2200
HIGHLAND PL,2195
CRYSTAL ST,1292
JEROME ST,2344
EMERALD ST,1763
FORCE TUBE AVE,1867
WELLS ST,4123
W 141 ST,3902
W 144 ST,3905
W 142 ST,3903
LENOX AVE,2515
EDGECOMBE AVE,1701
W 143 ST,3904
W 136 ST,3897
ST NICHOLAS AVE,3569
W 140 ST,3901
BRADHURST AVE,891
W 137 ST,3898
W 134 ST,3895
W 139 ST,3900
W 135 ST,3896
W 133 ST,3894
W 138 ST,3899
TAYLOR AVE,3680
SEWARD AVE,3461
METCALF AVE,2759
ROSEDALE AVE,3342
STORY AVE,3621
LACOMBE AVE,2457
SOUNDVIEW AVE,3527
TORRY AVE,3737
ST LAWRENCE AVE,3564
BEACH AVE,757
BOLTON AVE,862
BRUCKNER BLVD,957
THIERIOT AVE,3697
GILDERSLEEVE AVE,1960
CROES AVE,1268
NOBLE AVE,2925
COLGATE AVE,1176
BOYNTON AVE,885
NORTON AVE,2938
HOWE AVE,2252
VIRGIL PL,3856
CINCINNATUS AVE,1125
NEWMAN AVE,2914
SCREVIN AVE,3432
TURNEUR AVE,3762
COMMONWEALTH AVE,1196
BRONX RIVER AVE,940
PATTERSON AVE,3055
EFFINGHAM AVE,1713
ELDER AVE,1721
QUIMBY AVE,3194
HERMANY AVE,2177
CICERO AVE,1124
BARRETT AVE,699
CORNELL AVE,1225
TURNBULL AVE,3760
HOMER AVE,2232
MORRISON AVE,2825
STEPHENS AVE,3604
CEDAR AVE,1070
SCARBORO AVE,3413
MASON AVE,2705
WADSWORTH AVE,4055
BUEL AVE,969
DONGAN HILLS AVE,1412
GARRETSON AVE,1933
DELAWARE AVE,1359
HENRY PL,2168
NEW LN,2903
QUINTARD ST,3200
HUSSON ST,2282
HYLAN BLVD,2286
CLIFTON AVE,1148
ST JOHNS AVE,3560
COLTON ST,1187
LAMPORT BLVD,2475
FILLMORE PL,1843
GARFIELD AVE,1929
SAND LN,3396
BENTON AVE,805
BELAIR RD,783
VERA ST,3830
NAUGHTON AVE,2883
S RAILROAD AVE,3386
COOPER AVE,1216
REID AVE,3242
JEROME RD,2343
LACONIA AVE,2458
FINGERBOARD RD,1846
ALTER AVE,540
MALLORY AVE,2650
W FINGERBOARD RD,4044
STEUBEN ST,3610
KERMIT AVE,2409
NAUTILUS ST,2884
HANCOCK ST,2095
CHESTNUT AVE,1109
HILLCREST TER,2204
HILLCREST CT,2202
GRASMERE AVE,2021
ST MARYS AVE,3567
ANDERSON ST,562
ANDREWS ST,566
LINWOOD AVE,2546
DIAZ ST,1388
MILLS AVE,2782
PARKINSON AVE,3046
MARYLAND AVE,2703
BIONIA AVE,831
SLATER BLVD,3508
HOPE AVE,2240
LEGION PL,2510
OLYMPIA BLVD,2986
NUGENT AVE,2946
RUTH PL,3365
RARITAN AVE,3221
ZOE ST,4255
NARROWS RD N,2874
DONLEY AVE,1416
FOX HILL TER,1883
VAUGHAN ST,3828
KEELEY ST,2390
LYMAN AVE,2613
BEVERLY RD,822
KRAMER ST,2451
WENTWORTH AVE,4125
ABBOTT ST,487
WINGHAM ST,4200
SYLVATON TER,3666
WINDERMERE RD,4197
DOTY AVE,1428
BURGHER AVE,978
POUCH TER,3154
ROBIN RD,3302
AUSTIN AVE,630
HICKORY AVE,2190
CLEVELAND PL,1144
RODERICK AVE,3322
LANSING ST,2483
KENSINGTON AVE,2404
SCOTT AVE,3429
REYNOLDS ST,3264
SEAVER AVE,3442
EVELYN PL,1789
HURLBERT ST,2280
PERSHING ST,3088
RAILROAD AVE,3208
LINDA AVE,2541
OCEANSIDE AVE,2967
JACKSON AVE,2314
NORWAY AVE,2941
WOODLAWN AVE,4220
ROSEBANK PL,3340
VULCAN ST,3867
CONGER ST,1203
MACFARLAND AVE,2625
ALLENDALE RD,531
FREEBORN ST,1893
DEAL CT,1340
GUILFORD ST,2060
RADCLIFF RD,3202
NORMALEE RD,2932
LYNHURST AVE,2618
LEDYARD PL,2501
MERLE PL,2748
APPLEBY AVE,575
BELL ST,787
SCHOOL RD,3425
CAMERON AVE,1010
FAYETTE AVE,1824
MAJOR AVE,2647
JAMES PL,2324
BROAD ST,934
GREENWICH ST,2042
S WILLIAM ST,3389
NEW ST,2905
WHITEHALL ST,4151
STONE ST,3620
HANOVER SQ,2099
WEST ST,4128
EXCHANGE PL,1796
NEW YORK PLAZA,2908
CAROLINE ST,1040
GREEN ST,2033
PELTON AVE,3067
TRINITY PL,3748
ELIZABETH ST,1729
POST AVE,3151
N BURGHER AVE,2854
DAVIS AVE,1331
BANK ST,683
DELAFIELD AVE,1355
ELM ST,1745
BEMENT AVE,794
MOODY PL,2814
DONALD PL,1410
LINDEN ST,2544
BODINE ST,852
LLEWELLYN PL,2563
ROE ST,3324
CARY AVE,1049
ALASKA ST,511
DEKAY ST,1353
WALNUT ST,4069
LIVINGSTON CT,2560
TAYLOR ST,3681
BARKER ST,693
BRITTON ST,933
DONGAN ST,1414
ST AUSTINS PL,3550
OAKLAND AVE,2954
N MADA AVE,2859
LUDWIG ST,2608
HARTFORD AVE,2121
EGBERT AVE,1715
ARCADIA PL,580
WAYNE ST,4106
CAMPBELL AVE,1014
PURCELL ST,3177
MUNDY AVE,2846
RAYMOND PL,3226
DUBOIS AVE,1445
ELIZABETH AVE,1728
DRIPROCK ST,1442
REGAN AVE,3237
CURTIS AVE,1297
FLOYD ST,1860
GREENLEAF AVE,2039
SENECA ST,3459
GLENWOOD PL,1978
S ST AUSTINS PL,3388
HARVEST AVE,2124
NUTLY PL,2948
ASTORIA BLVD,615
30 RD,270
26 RD,254
1 ST,2
30 DR,269
28 AVE,261
33 ST,278
21 ST,204
NEWTOWN AVE,2918
MAIN AVE,2643
WELLING CT,4120
27 AVE,257
29 ST,266
24 RD,243
28 RD,262
30 ST,271
24 DR,242
ASTORIA BLVD S,617
24 AVE,241
18 ST,163
LORING PL N,2587
WEBB AVE,4107
E 196 ST,1554
CRESTON AVE,1264
EAMES PL,1687
W 197 ST,3954
CLAFLIN AVE,1128
FATHER ZEISER PL,1823
W FORDHAM RD,4045
W KINGSBRIDGE RD,4048
RESERVOIR AVE,3254
FIELD PL,1838
GOULDEN AVE,1995
NORTH ST,2935
DEVOE TER,1379
VILLA AVE,3848
PAUL AVE,3056
MINERVA PL,2786
PARKVIEW TER,3051
E 190 ST,1549
E 184 ST,1543
STRONG ST,3631
W 195 ST,3953
HAMPDEN PL,2090
AQUEDUCT AVE,577
W 184 ST,3943
W 190 ST,3950
E 193 ST,1551
KNICKERBOCKER AVE,2444
ELDERT ST,1723
IRVING AVE,2304
WYCKOFF AVE,4238
STANHOPE ST,3584
GARDNER AVE,1928
STOCKHOLM ST,3617
BLEECKER ST,844
SUYDAM ST,3662
STARR ST,3591
HARMAN ST,2108
HIMROD ST,2210
MENAHAN ST,2745
WEIRFIELD ST,4115
HALSEY ST,2082
DECATUR ST,1347
PORTER AVE,3148
CORNELIA ST,1224
HARRISON PL,2114
PALMETTO ST,3029
INGRAHAM ST,2293
COOPER ST,1219
COVERT ST,1250
WOODBINE ST,4214
VARICK AVE,3825
VANDERVOORT PL,3822
GROVE ST,2055
PILLING ST,3103
HIGHLAND BLVD,2194
DE SALES PL,1339
SCHAEFER ST,3415
HENDRIX ST,2165
MOFFAT ST,2795
SUNNYSIDE AVE,3652
ALABAMA AVE,509
WYONA ST,4241
CHAUNCEY ST,1099
VERMONT ST,3832
NEW JERSEY AVE,2902
ASHFORD ST,607
SCHENCK AVE,3416
MILLER AVE,2780
VAN SICLEN AVE,3810
PENNSYLVANIA AVE,3080
GEORGIA AVE,1949
RIVERDALE AVE,3294
HINSDALE ST,2212
SNEDIKER AVE,3520
WARWICK ST,4083
LIVONIA AVE,2562
BRADFORD ST,890
LOUISIANA AVE,2598
BARBEY ST,687
SHEFFIELD AVE,3472
ABERDEEN ST,488
CROSBY AVE,1275
MCCLANCY PL,2723
NEWPORT ST,2916
GRANITE ST,2016
FURMAN AVE,1913
BULWER PL,973
VAN SINDEREN AVE,3811
MALTA ST,2653
SUNNYSIDE CT,3653
VANDERVEER ST,3820
UTICA AVE,3786
AVE U,652
E 41 ST,1613
E 53 ST,1624
SCHENECTADY AVE,3418
RYDER ST,3373
TROY AVE,3752
HENDRICKSON ST,2164
ROYCE ST,3356
VETERANS AVE,3841
BERGEN AVE,809
QUENTIN RD,3193
STRICKLAND AVE,3628
NATIONAL DR,2881
MILL AVE,2777
E 49 ST,1620
E 68 ST,1636
E 51 ST,1622
E 56 ST,1627
ROYCE PL,3355
COLEMAN ST,1172
LOTT PL,2593
HARDEN ST,2103
KIMBALL ST,2417
PEARSON ST,3061
BASSETT AVE,711
WHITMAN DR,4155
DAKOTA PL,1310
E 58 ST,1629
E 54 ST,1625
E 55 ST,1626
E 64 ST,1633
AVE T,651
E 59 ST,1630
E 52 ST,1623
E 61 ST,1631
E 38 ST,1610
E 35 ST,1607
E 36 ST,1608
E 66 ST,1635
E 45 ST,1617
E 65 ST,1634
E 70 ST,1638
E 72 ST,1639
W 180 ST,3939
W 175 ST,3935
W TREMONT AVE,4052
PHELAN PL,3094
W BURNSIDE AVE,4038
HENNESSY PL,2167
HENWOOD PL,2171
POPHAM AVE,3141
BUCHANAN PL,965
BRANDT PL,896
CLIFFORD PL,1147
BILLINGSLEY TER,828
OSBORNE PL,3000
CLINTON PL,1153
W 174 ST,3934
W 182 ST,3941
W 179 ST,3938
MORTON PL,2826
CAMERON PL,1012
W 183 ST,3942
BOWNE ST,881
149 PL,112
FARRINGTON ST,1822
33 AVE,277
147 ST,107
KING RD,2420
25 DR,248
126 ST,60
COLLINS PL,1182
PARSONS BLVD,3053
WILLETS POINT BLVD,4170
MURRAY ST,2851
LEAVITT ST,2499
CARLTON PL,1033
COLLEGE POINT BLVD,1179
BUD PL,968
LINDEN PL,2543
MURRAY LN,2850
BAYSIDE AVE,752
JANET PL,2327
148 ST,110
29 AVE,264
121 ST,53
STRATTON ST,3626
GRAHAM CT,2006
146 ST,102
29 RD,265
40 RD,296
150 PL,118
36 RD,284
32 AVE,275
WOODSIDE AVE,4225
GREENPOINT AVE,2040
NEWTOWN RD,2919
LAUREL HILL BLVD,2490
SKILLMAN AVE,3506
TRIMBLE RD,3746
CELTIC AVE,1077
HOBART ST,2215
MAURICE AVE,2715
BOROUGH PL,872
TYLER AVE,3766
58 LN,351
65 PL,382
CALAMUS AVE,1000
69 ST,399
45 AVE,308
30 AVE,268
51 RD,325
56 PL,344
BELL BLVD,786
CORPORAL KENNEDY ST,1229
WATERS EDGE DR,4094
208 PL,199
203 ST,194
215 ST,211
23 AVE,231
15 RD,115
CROSS ISLAND PKWY,1279
RIVER RD,3293
W LOOP RD,4049
E LOOP RD,1675
MARTHA AVE,2699
E 243 ST,1597
CRANFORD AVE,1258
HERKIMER PL,2175
KATONAH AVE,2382
VIREO AVE,3855
MATILDA AVE,2711
BRONX BLVD,937
PENFIELD ST,3076
ST OUEN ST,3572
RICHARDSON AVE,3273
KEPLER AVE,2408
OSGOOD ST,3002
E 238 ST,1594
E 236 ST,1592
E 234 ST,1590
BULLARD AVE,972
NAPIER AVE,2870
ROBERTSON ST,3301
E 237 ST,1593
E 239 ST,1595
E 235 ST,1591
CITY ISLAND AVE,1127
KING AVE,2419
DITMARS ST,1399
MINNIEFORD AVE,2791
FORDHAM ST,1869
ROWLAND ST,3352
PLYMOUTH AVE,3126
SILVER ST,3498
TOMLINSON AVE,3731
LAKEWOOD PL,2471
LURTING AVE,2611
WESTCHESTER SQ,4133
WILKINSON AVE,4168
HOLLYWOOD AVE,2226
HONE AVE,2234
HERSCHELL ST,2179
TRATMAN AVE,3742
PARKVIEW AVE,3050
COLONIAL AVE,1184
ESPLANADE,1782
WILLIAMSBRIDGE RD,4175
CONTINENTAL AVE,1210
HERING AVE,2174
SEMINOLE AVE,3456
MIDDLETOWN RD,2768
PILGRIM AVE,3102
MAHAN AVE,2641
EDISON AVE,1705
EASTCHESTER RD,1691
YATES AVE,4245
HOBART AVE,2214
ROBERTS AVE,3299
JARVIS AVE,2330
BUHRE AVE,971
LAURIE AVE,2492
MAYFLOWER AVE,2719
SANDS PL,3399
MAITLAND AVE,2646
ERICSON PL,1776
ST THERESA AVE,3579
FERRIS PL,1836
MULFORD AVE,2843
ROEBLING AVE,3325
BENSON ST,803
OVERING ST,3008
FRISBY AVE,1901
SEABURY AVE,3436
BLONDELL AVE,846
SEDDON ST,3447
ST PAUL AVE,3573
SCHUYLER PL,3428
WILLOW LN,4181
ST PETERS AVE,3577
NARRAGANSETT AVE,2872
PURITAN AVE,3181
CODDINGTON AVE,1164
FULLER ST,1910
HALPERIN AVE,2080
BUCK ST,966
BALCOM AVE,674
LIBBY PL,2532
TENBROECK AVE,3687
BAISLEY AVE,671
LYVERE ST,2621
BURR AVE,984
ARNOW PL,599
DANIEL ST,1320
HAIGHT AVE,2070
JARRETT PL,2329
PONTON AVE,3140
CORNELL PL,1226
GILLESPIE AVE,1962
MERRY AVE,2754
CHOCTAW PL,1116
VREELAND AVE,3865
ZULETTE AVE,4256
LATTING ST,2488
HARRINGTON AVE,2111
DORSEY ST,1425
HUBBELL ST,2258
ROWE ST,3351
FINK AVE,1847
ELLISON AVE,1739
WELLMAN AVE,4122
EDWARDS AVE,1712
BRADFORD AVE,889
LA SALLE AVE,2453
ROSELLE ST,3343
WATERS PL,4095
HASKIN ST,2126
KELLY ST,2394
SIMPSON ST,3502
FOX ST,1884
BOONE AVE,867
HOME ST,2229
VYSE AVE,3868
LOUIS NINE BLVD,2596
JENNINGS ST,2340
INTERVALE AVE,2297
ROGERS PL,3329
HEWITT PL,2186
HOE AVE,2217
FREEMAN ST,1896
DAWSON ST,1334
BECK ST,767
CHARLOTTE ST,1094
WHITLOCK AVE,4154
HALL PL,2076
ALDUS ST,527
W FARMS RD,4043
CHISHOLM ST,1114
BRISTOW ST,931
STEBBINS AVE,3597
LOWELL ST,2600
E 160 ST,1518
E 165 ST,1523
LYMAN PL,2614
E 164 ST,1522
RITTER PL,3291
VERNON BLVD,3834
CENTER BLVD,1078
HUNTER ST,2274
PURVES ST,3183
46 RD,312
BORDEN AVE,870
27 ST,258
VAN DAM ST,3798
DAVIS ST,1332
STEINWAY ST,3601
THOMSON AVE,3702
COURT SQ,1245
QUEENS ST,3190
STARR AVE,3590
HUNTERS POINT AVE,2275
44 DR,305
44 RD,306
35 ST,282
11 ST,26
REVIEW AVE,3262
40 AVE,295
DUTCH KILLS ST,1463
47 RD,315
194 ST,180
166 ST,144
163 ST,136
STATION RD,3595
JORDAN ST,2361
DEPOT RD,1369
SANFORD AVE,3401
LABURNUM AVE,2456
CROCHERON AVE,1267
UTOPIA PKWY,3787
189 ST,172
162 ST,135
PIDGEON MEADOW RD,3097
161 ST,134
E 213 ST,1568
MICKLE AVE,2765
VANCE ST,3814
ASTOR AVE,613
ADEE AVE,499
FISH AVE,1850
GUNTHER AVE,2064
HAMMERSLEY AVE,2089
BRONXWOOD AVE,942
SEYMOUR AVE,3463
PELHAM PKWY N,3064
ALLERTON AVE,533
WARING AVE,4078
BOUCK AVE,875
WICKHAM AVE,4161
TIEMANN AVE,3715
BRUNER AVE,958
GRACE AVE,1999
E GUN HILL RD,1672
FENTON AVE,1830
OAKLEY ST,2956
NEEDHAM AVE,2887
PEARSALL AVE,3060
MACE AVE,2623
EDSON AVE,1709
KINGSLAND AVE,2429
ARNOW AVE,598
DUNCAN ST,1450
YOUNG AVE,4251
DELANOY AVE,1358
GABRIEL DR,1917
E 220 ST,1576
STELL PL,3602
E 222 ST,1577
MAGENTA ST,2639
ELY AVE,1761
CORSA AVE,1232
LODOVICK AVE,2571
SEXTON PL,3462
DEWITT PL,1384
E 215 ST,1570
E 217 ST,1572
E 152 ST,1511
CAULDWELL AVE,1067
AVE ST JOHN,650
TINTON AVE,3726
CONCORD AVE,1199
WALES AVE,4063
TRINITY AVE,3747
E 155 ST,1513
AUSTIN PL,631
EAGLE AVE,1684
MACY PL,2634
TIMPSON PL,3725
E 149 ST,1508
PONTIAC PL,3138
STRATFORD AVE,3624
WARD AVE,4074
CLOSE AVE,1157
MANOR AVE,2664
HARROD AVE,2116
FTELEY AVE,1908
BLACKROCK AVE,840
CHATTERTON AVE,1098
E 172 ST,1531
BLUE SLIP,850
COMMERCIAL ST,1195
MONITOR ST,2798
HERBERT ST,2172
MCGUINNESS BLVD,2727
NASSAU AVE,2877
JEWEL ST,2349
NEWEL ST,2912
JAVA ST,2332
KENT ST,2407
ECKFORD ST,1698
FRANKLIN ST,1891
N HENRY ST,2858
DIAMOND ST,1387
NEWTON ST,2917
NOBLE ST,2926
MEEKER AVE,2734
SUTTON ST,3661
DRIGGS AVE,1441
BAYARD ST,748
GUERNSEY ST,2058
DOBBIN ST,1406
OAK ST,2951
MILTON ST,2785
BANKER ST,684
CALYER ST,1005
EAGLE ST,1686
NORMAN AVE,2933
INDIA ST,2291
ENGERT AVE,1771
RICHARDSON ST,3274
FROST ST,1903
ASH ST,606
PROVOST ST,3173
MESEROLE AVE,2757
MOULTRIE ST,2835
CLAY ST,1140
DIVISION PL,1402
APOLLO ST,574
HAUSMAN ST,2132
BEADEL ST,761
VARICK ST,3826
WITHERS ST,4207
PAIDGE AVE,3024
THOMAS ST,3700
LOMBARDY ST,2575
BRIDGEWATER ST,905
VANDERVOORT AVE,3821
W 65 ST,4008
W 62 ST,4007
W 73 ST,4014
COLUMBUS AVE,1190
RIVERSIDE DR,3296
W 72 ST,4013
W 68 ST,4009
W END AVE,4042
W 74 ST,4015
W 71 ST,4012
W 59 ST,4005
W 70 ST,4011
WILLMOHR ST,4178
RUTLAND RD,3367
WINTHROP ST,4204
OSBORN ST,2999
GRAFTON ST,2004
JUNIUS ST,2371
CHESTER ST,1107
MOTHER GASTON BLVD,2831
AMBOY ST,546
SACKMAN ST,3391
TAPSCOTT ST,3675
E NEW YORK AVE,1678
POWELL ST,3157
SARATOGA AVE,3404
THOMAS S BOYLAND ST,3699
THATFORD AVE,3693
STRAUSS ST,3627
HERZL ST,2180
LEGION ST,2511
LOTT AVE,2592
CHRISTOPHER AVE,1118
WATKINS ST,4097
E 93 ST,1657
ELMHURST AVE,1746
LEVERICH ST,2523
93 ST,473
94 ST,475
31 AVE,272
ASTOR PL,614
GREENE ST,2037
WASHINGTON PL,4086
COOPER SQ,1218
WAVERLY PL,4104
MERCER ST,2746
STUYVESANT ST,3639
E 10 ST,1471
UNION SQ,3776
TARAS SHEVCHENKO PL,3676
GRAMERCY PARK,2007
PEMBROKE AVE,3069
ALAMEDA AVE,510
65 AVE,381
THORNHILL AVE,3703
73 AVE,412
MARYLAND RD,2704
