,Violation Code,Violation Location,House Number,Vehicle Year,Registration State,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,Street Name,Intersecting Street,Vehicle Color
81,31,1.0,40,2022,39,12,49,531,4,1337,-1,124
82,69,1.0,40,2016,39,108,28,336,4,1337,-1,124
83,84,1.0,40,2013,39,108,54,1098,4,1337,-1,124
84,14,1.0,40,0,35,16,79,1328,4,1337,-1,130
85,14,1.0,33,2020,39,108,28,117,4,591,-1,124
86,10,84.0,181,2016,39,75,145,169,2,1328,-1,11
87,10,84.0,181,2002,39,1,171,171,2,1328,-1,67
88,10,84.0,181,2014,39,75,114,177,2,1328,-1,67
89,10,84.0,181,2017,39,75,83,1047,2,1328,-1,67
90,10,84.0,181,2014,39,75,16,1053,2,1328,-1,11
91,10,84.0,181,2004,39,75,166,1047,2,1328,-1,67
92,10,84.0,181,2020,39,1,110,1049,2,1328,-1,67
93,10,84.0,181,2016,39,1,186,1051,2,1328,-1,67
94,10,84.0,181,0,9,1,171,1055,2,1328,-1,110
95,14,84.0,181,2017,35,70,110,1351,-1,1328,-1,108
96,10,84.0,181,0,35,108,110,173,2,1328,-1,130
97,10,84.0,181,0,35,1,66,179,2,1328,-1,110
98,10,84.0,181,2015,39,75,21,1049,2,1328,-1,67
99,10,84.0,181,2017,39,75,72,1051,2,1328,-1,67
100,10,84.0,181,0,22,75,171,1057,2,1328,-1,18
101,10,84.0,181,2012,39,1,96,1125,2,1328,-1,11
102,71,5.0,133,2018,39,0,110,664,4,591,-1,124
103,40,5.0,133,2018,39,0,110,666,4,591,-1,124
104,14,1.0,144,2019,39,75,121,157,4,1337,-1,11
105,14,1.0,144,2007,39,16,78,1498,4,1337,-1,124
106,71,1.0,40,2014,39,1,121,525,4,439,-1,124
107,40,1.0,40,2014,39,1,121,527,4,439,-1,124
108,14,1.0,121,2019,39,1,16,820,4,1337,-1,67
109,14,1.0,121,0,8,75,83,818,4,1337,-1,18
110,14,1.0,125,2015,39,75,83,724,4,1337,-1,100
111,70,1.0,25,2021,39,75,135,702,4,2065,-1,62
112,46,1.0,25,2014,39,75,145,281,4,2065,-1,11
113,46,1.0,25,2017,39,108,49,277,4,2065,-1,124
114,31,1.0,130,2015,39,1,110,1434,4,1337,-1,67
115,38,1.0,130,2017,39,108,54,568,4,1337,-1,32
116,31,1.0,138,2014,39,75,83,1438,4,1337,-1,11
117,31,1.0,138,2019,39,75,121,151,4,1337,-1,124
118,14,6.0,138,2011,39,0,23,672,4,1337,-1,100
119,46,1.0,138,0,18,16,54,1126,4,1337,-1,139
120,84,1.0,138,0,18,16,54,1130,4,1337,-1,139
121,38,1.0,138,2006,39,16,54,574,4,1337,-1,130
122,31,1.0,138,0,44,1,16,802,4,1337,-1,62
123,31,1.0,222,0,12,1,171,1498,4,683,-1,18
124,10,1.0,222,2006,39,108,194,718,4,683,-1,32
125,21,84.0,200,2008,39,75,135,986,2,2792,-1,11
126,21,84.0,200,0,44,75,88,988,2,2792,-1,61
127,46,1.0,200,0,56,16,54,239,4,2792,-1,130
128,84,1.0,200,0,56,16,54,241,4,2792,-1,130
129,19,1.0,200,2012,39,108,194,670,4,2792,-1,32
130,46,1.0,77,2021,39,66,79,1142,4,1337,-1,124
131,46,1.0,77,2015,39,16,64,1302,4,1337,-1,124
132,69,1.0,77,2015,39,60,59,1308,4,1337,-1,124
133,14,1.0,106,0,35,75,3,469,4,1337,-1,26
134,14,1.0,106,0,35,16,64,1478,4,1337,-1,130
135,14,1.0,106,2018,39,16,171,1440,4,1337,-1,124
136,14,1.0,156,2022,39,75,66,670,4,2844,-1,124
137,14,1.0,5,0,25,75,3,155,4,591,-1,14
138,14,1.0,5,2016,39,66,87,874,4,591,-1,124
139,14,1.0,5,2006,39,16,54,1468,4,591,-1,130
140,14,1.0,5,2019,39,60,49,261,4,591,-1,67
141,14,1.0,5,2017,39,108,64,1188,4,591,-1,124
142,31,1.0,57,0,35,1,66,565,4,1380,-1,32
143,31,1.0,57,2019,39,75,66,678,4,1380,-1,67
144,71,1.0,57,2019,39,75,66,682,4,1380,-1,67
145,46,1.0,57,0,35,16,54,133,4,1380,-1,130
146,14,1.0,8,2017,39,60,121,338,4,591,-1,124
147,14,1.0,8,0,43,16,54,287,4,591,-1,130
148,70,84.0,202,2017,39,75,16,107,2,1328,-1,11
149,70,84.0,202,2017,39,75,16,974,2,1328,-1,11
150,14,1.0,125,0,44,1,168,852,4,1800,-1,18
151,69,1.0,125,2007,39,108,28,306,4,1800,-1,124
152,17,1.0,125,2018,39,75,83,310,4,1800,-1,67
153,31,1.0,125,0,35,1,66,314,4,1800,-1,130
154,14,1.0,125,0,35,75,171,1104,4,1800,-1,26
155,40,1.0,125,0,35,16,54,854,4,1800,-1,130
156,84,1.0,125,0,35,16,54,856,4,1800,-1,130
157,31,1.0,125,0,35,1,7,527,4,1800,-1,18
158,31,1.0,125,0,35,75,171,199,4,1800,-1,26
159,20,1.0,150,2009,39,75,16,161,4,591,-1,67
160,31,1.0,60,0,12,75,88,324,4,439,-1,18
161,17,1.0,299,2019,39,1,121,674,4,2083,-1,14
162,14,1.0,299,2015,39,75,110,368,4,2083,-1,67
163,14,1.0,299,2003,39,1,72,684,4,2083,-1,121
164,14,1.0,299,1995,39,108,78,519,4,2083,-1,32
165,14,1.0,299,0,25,75,171,690,4,2083,-1,62
166,14,1.0,299,0,8,75,28,692,4,2083,-1,18
167,40,1.0,70,1995,39,108,78,1296,4,1337,-1,32
168,46,1.0,160,2018,39,70,49,148,4,683,-1,110
169,69,1.0,160,2019,39,108,28,1126,4,683,-1,124
170,69,9.0,160,0,35,75,28,620,4,683,-1,130
171,42,1.0,160,0,35,108,49,1502,4,683,-1,130
172,69,1.0,160,2013,39,108,49,171,4,683,-1,124
173,16,1.0,257,2018,39,75,165,614,4,2792,-1,124
174,16,1.0,257,2012,39,60,121,1496,4,2792,-1,67
175,16,1.0,257,0,35,0,16,497,4,2792,-1,61
176,16,1.0,257,0,34,108,110,235,4,2792,-1,130
177,16,1.0,257,0,8,75,83,610,4,2792,-1,18
178,16,1.0,257,0,35,75,66,612,4,2792,-1,18
179,16,1.0,257,2016,39,75,83,622,4,2792,-1,130
180,70,1.0,56,2019,39,12,135,644,4,1337,-1,11
181,31,1.0,56,2014,39,1,28,644,4,1337,-1,100
182,31,1.0,170,2018,39,75,83,563,4,1620,-1,11
183,51,1.0,170,2010,39,70,7,1186,4,1620,-1,58
184,51,1.0,170,2002,6,70,110,1336,4,1620,-1,18
185,70,1.0,170,2002,6,-1,110,1344,4,1620,-1,24
186,31,1.0,170,2022,39,60,139,565,4,1620,-1,11
187,31,1.0,69,2005,39,60,107,1454,4,1728,-1,67
188,14,1.0,69,2004,39,16,54,1112,4,1728,-1,130
189,20,6.0,10,2022,39,1,66,896,4,758,-1,14
190,20,6.0,10,2019,39,1,66,898,4,758,-1,11
191,31,1.0,110,2020,39,75,66,836,4,2844,-1,124
192,17,1.0,110,0,53,60,49,840,4,2844,-1,130
193,19,1.0,324,2013,39,60,79,420,4,2083,-1,124
194,69,1.0,80,2011,39,108,28,1464,4,1620,-1,130
195,14,1.0,65,2010,39,75,110,1356,4,1728,-1,11
196,53,1.0,182,2006,39,16,54,145,4,683,-1,130
197,14,84.0,30,0,35,16,49,870,2,1620,-1,130
198,20,1.0,146,2020,39,108,139,205,4,591,-1,11
199,17,5.0,5,2019,39,1,72,820,4,2394,-1,67
200,19,5.0,388,0,53,1,186,1152,4,2083,-1,18
201,14,1.0,143,2016,39,16,49,842,4,1337,-1,124
202,71,1.0,143,2016,39,16,49,844,4,1337,-1,124
203,14,1.0,143,0,44,75,49,798,4,1337,-1,130
204,14,1.0,143,0,18,16,54,806,4,1337,-1,130
205,14,1.0,143,2009,39,108,49,816,4,1337,-1,124
206,31,1.0,143,0,35,75,66,672,4,1337,-1,62
207,14,1.0,111,2012,39,1,110,824,4,1337,-1,67
208,14,1.0,111,0,4,1,186,145,4,1337,-1,130
209,14,1.0,111,2004,39,1,171,820,4,1337,-1,14
210,14,1.0,111,0,39,75,168,830,4,1337,-1,62
211,14,1.0,111,2011,39,1,110,808,4,1337,-1,11
212,14,1.0,111,0,8,75,83,812,4,1337,-1,18
213,14,1.0,141,2018,39,108,28,1280,4,1337,-1,130
214,84,1.0,141,0,18,66,54,872,4,1337,-1,130
215,16,1.0,113,2007,39,75,3,694,4,1963,-1,11
216,16,1.0,166,2019,39,75,83,704,4,2844,-1,11
217,71,1.0,33,2014,39,75,171,269,4,2065,-1,11
218,46,1.0,33,2014,39,75,171,271,4,2065,-1,11
219,46,1.0,33,2012,39,108,49,267,4,2065,-1,124
220,40,1.0,33,2015,39,75,59,273,4,2065,-1,124
221,31,1.0,64,2021,39,75,165,495,4,1337,-1,67
222,75,1.0,64,2020,39,75,97,137,4,1337,-1,67
223,31,1.0,64,2020,39,75,97,139,4,1337,-1,67
224,46,1.0,64,2019,39,108,110,147,4,1337,-1,124
225,16,1.0,261,2020,39,75,187,1014,4,2792,-1,11
226,16,1.0,261,2022,39,1,171,682,4,2792,-1,67
227,16,1.0,261,2021,39,75,88,1010,4,2792,-1,11
228,20,84.0,160,2013,39,1,28,183,2,1328,-1,11
